q	FC = 0.5_t	FC = 1.0_t	FC = 2.0_t	FC = 0.5_s	FC = 1.0_s	FC = 2.0_s
0.001	594	594	534	171	170	156
0.004	656	656	545	188	186	166
0.006	681	681	550	195	193	169
0.009	697	697	551	195	193	169
0.011	711	711	552	197	195	170
0.014	723	722	552	198	196	171
0.016	732	731	552	202	200	174
0.019	742	739	552	203	201	174
0.022	748	744	552	203	201	174
0.024	757	748	552	205	203	175
0.027	761	749	553	205	203	175
0.029	769	752	554	205	203	175
0.032	774	753	554	206	204	176
0.035	782	754	554	207	205	176
0.037	787	755	554	210	208	176
0.04	794	756	554	211	209	176
0.042	796	757	554	211	209	176
0.045	803	759	554	211	209	176
0.047	810	759	554	212	209	176
0.05	818	759	554	212	209	176
